epoch,train_loss,train_acc,test_loss,test_acc,lr,grad_norm_conv1,grad_norm_conv4
1,1.4532934008407592,0.47114,0.9844020380973816,0.6469,0.001,5.083266258239746,1.5415223836898804
2,1.0953617621994018,0.60806,0.797246817111969,0.7166,0.001,3.880291700363159,1.4942067861557007
3,0.9780020556259156,0.65134,0.8944357852935791,0.6871,0.001,3.5201289653778076,1.2479090690612793
4,0.9042090771484375,0.68002,0.6950109399795532,0.756,0.001,3.285552740097046,0.8654495477676392
5,0.8565353833770752,0.69862,0.7226332951545715,0.7496,0.001,5.020105838775635,1.3467568159103394
6,0.8223482864570618,0.71038,0.609690754699707,0.7853,0.001,3.6312665939331055,1.2471704483032227
7,0.7801743868637085,0.72628,0.6456841745376587,0.777,0.001,2.865449905395508,1.2358509302139282
8,0.7622403125953674,0.7315,0.6139345108985901,0.7877,0.001,4.04549503326416,1.1454037427902222
9,0.7397886557388306,0.74388,0.5590467048168183,0.8066,0.001,3.3737969398498535,1.1030081510543823
10,0.7102556587028503,0.7518,0.5570986073970795,0.8102,0.001,2.9354517459869385,0.8432226181030273
11,0.6996861503219605,0.75808,0.5398224373817444,0.8126,0.001,5.519303321838379,1.3762786388397217
12,0.684110545835495,0.76042,0.5431701040744782,0.8119,0.001,2.0754480361938477,0.8624064326286316
13,0.6708167517852783,0.76446,0.511191016960144,0.8252,0.001,2.970834732055664,1.1470352411270142
14,0.658542348575592,0.77124,0.5000180507183075,0.8252,0.001,3.463876962661743,0.8293710350990295
15,0.6432219215011596,0.7767,0.5209194556713104,0.8223,0.001,6.266453742980957,1.6924734115600586
16,0.6418811850738525,0.77416,0.5033971205711365,0.8274,0.001,3.8971245288848877,0.9828349947929382
17,0.6314330990219116,0.78074,0.48823300805091857,0.8313,0.001,4.599941730499268,1.6520957946777344
18,0.6206393352508545,0.78328,0.477719936132431,0.8348,0.001,3.341102123260498,1.3324239253997803
19,0.6115449452781677,0.78744,0.5068969613075256,0.823,0.001,5.063504695892334,1.3703020811080933
20,0.6034380779647827,0.7904,0.4722862390518188,0.8411,0.001,4.716906547546387,1.765167474746704
21,0.5991710946273804,0.7928,0.5219303158760071,0.822,0.001,5.32776403427124,1.3051084280014038
22,0.5914485552883149,0.79612,0.47422061505317686,0.8349,0.001,2.5765795707702637,0.7618333101272583
23,0.5836167426776886,0.79594,0.47189095487594607,0.8384,0.001,1.903091311454773,0.5134809017181396
24,0.5826092682647706,0.79636,0.4522819206237793,0.8452,0.001,2.943817138671875,1.1969444751739502
25,0.577804822845459,0.79948,0.44130824871063234,0.8488,0.001,3.4006900787353516,0.8206311464309692
26,0.5668574837493896,0.80484,0.478983993768692,0.8388,0.001,4.822177886962891,1.1454813480377197
27,0.5679553406238556,0.8032,0.4620507224082947,0.8452,0.001,1.8496836423873901,0.3673015534877777
28,0.5568290670394898,0.80586,0.45436300649642947,0.8399,0.001,5.004398822784424,1.5589990615844727
29,0.5564083927822113,0.80644,0.4493809805393219,0.8467,0.001,3.0480446815490723,0.9787997603416443
30,0.5500226701164246,0.80826,0.43890228691101074,0.8506,0.001,1.9889087677001953,0.8392807841300964
