epoch,train_loss,train_acc,test_loss,test_acc,lr,grad_norm_conv1,grad_norm_conv4
1,1.2585510238265991,0.54448,0.9708772644042969,0.6593,0.001,10.370161056518555,1.7250314950942993
2,0.8870868183135986,0.6874,0.7426955903530121,0.7381,0.001,3.4655697345733643,1.5845568180084229
3,0.7701259605407715,0.72906,0.7662608271598816,0.7349,0.001,4.8213419914245605,1.640633463859558
4,0.688616753768921,0.75954,0.6119219583511353,0.7864,0.001,4.618227958679199,1.3355239629745483
5,0.6335717014312744,0.7781,0.5800416162490845,0.804,0.001,3.8488497734069824,1.2941057682037354
6,0.5937896409225464,0.79338,0.5225156846523284,0.8222,0.001,3.0581400394439697,1.2337758541107178
7,0.556535357208252,0.80652,0.566375557231903,0.8113,0.001,2.746133804321289,1.0573118925094604
8,0.5235670771026611,0.81842,0.5095436168670654,0.8261,0.001,3.7236828804016113,1.38076913356781
9,0.49979771194458006,0.82646,0.49838401322364806,0.8279,0.001,3.2784173488616943,0.8751634955406189
10,0.4760430792617798,0.83466,0.4931493130683899,0.83,0.001,3.717435598373413,1.2991836071014404
11,0.45983666656494143,0.84112,0.46822562503814696,0.8391,0.001,4.547545909881592,1.982471227645874
12,0.4404899355506897,0.84858,0.4906119900226593,0.8374,0.001,2.050889015197754,0.4721524715423584
13,0.42080740575790404,0.85232,0.4406577275276184,0.8505,0.001,2.201766014099121,1.0865676403045654
14,0.40697542611122134,0.85944,0.46592928779125214,0.8427,0.001,2.3743362426757812,1.067165493965149
15,0.39077270649909973,0.865,0.45318679122924804,0.8495,0.001,5.859537601470947,1.909009575843811
16,0.384343664150238,0.86504,0.4541034673213959,0.8476,0.001,2.780823230743408,1.2480441331863403
17,0.36726294170379636,0.8727,0.46817606806755063,0.8418,0.001,4.93552303314209,1.7106070518493652
18,0.36001497178077696,0.87472,0.4325625024318695,0.8549,0.001,2.3206424713134766,0.9851797223091125
19,0.35002326384544374,0.87752,0.44077108292579653,0.8527,0.001,3.6439743041992188,0.862446665763855
20,0.3376276400947571,0.8826,0.4096740011692047,0.8646,0.001,3.1438074111938477,1.016197681427002
21,0.3327873914813995,0.88394,0.434496963095665,0.8556,0.001,6.185609340667725,1.8820403814315796
22,0.32614357135772704,0.8865,0.41005298252105715,0.8666,0.001,3.3043053150177,1.167120099067688
23,0.30962340440750125,0.89176,0.40934282212257384,0.8654,0.001,2.574589729309082,0.72910076379776
24,0.3067946531581879,0.89258,0.4127716018915176,0.8636,0.001,3.654897689819336,1.3797776699066162
25,0.29665460891723633,0.89494,0.40252298855781554,0.8704,0.001,1.8613333702087402,0.9439106583595276
26,0.28658804186820985,0.8996,0.4234128113269806,0.8656,0.001,4.999075889587402,1.3854517936706543
27,0.28246079548835756,0.9015,0.4093891255378723,0.8692,0.001,3.8237180709838867,1.0718623399734497
28,0.27774283504486086,0.90286,0.41279417543411256,0.8685,0.001,3.9702084064483643,1.8110840320587158
29,0.26702300132751466,0.90648,0.41404537782669065,0.8712,0.001,1.9102070331573486,0.894912600517273
30,0.26507615513801575,0.9072,0.4089585473060608,0.8679,0.001,3.4467368125915527,0.9258794188499451
