,precision,recall,f1-score,support
plane,0.8558736426456071,0.867,0.8614008941877794,1000.0
car,0.9399796541200407,0.924,0.9319213313161876,1000.0
bird,0.8296213808463252,0.745,0.7850368809272918,1000.0
cat,0.8036410923276983,0.618,0.6986998304126625,1000.0
deer,0.8544502617801047,0.816,0.8347826086956521,1000.0
dog,0.737719298245614,0.841,0.7859813084112149,1000.0
frog,0.8428835489833642,0.912,0.8760806916426513,1000.0
horse,0.8579387186629527,0.924,0.889744824265768,1000.0
ship,0.8954937679769894,0.934,0.9143416544297601,1000.0
truck,0.8894230769230769,0.925,0.9068627450980392,1000.0
accuracy,0.8506,0.8506,0.8506,0.8506
macro avg,0.8507024442511775,0.8506,0.8484852769387008,10000.0
weighted avg,0.8507024442511772,0.8506,0.8484852769387006,10000.0
