,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,0.867,0.011,0.024,0.008,0.004,0.0,0.008,0.01,0.043,0.025
car,0.008,0.924,0.002,0.0,0.001,0.002,0.001,0.001,0.015,0.046
bird,0.045,0.0,0.745,0.022,0.051,0.044,0.054,0.025,0.009,0.005
cat,0.013,0.006,0.044,0.618,0.034,0.172,0.057,0.033,0.01,0.013
deer,0.013,0.002,0.035,0.021,0.816,0.026,0.036,0.045,0.004,0.002
dog,0.005,0.001,0.017,0.064,0.024,0.841,0.01,0.03,0.002,0.006
frog,0.005,0.002,0.022,0.018,0.01,0.017,0.912,0.008,0.003,0.003
horse,0.008,0.001,0.007,0.007,0.015,0.032,0.0,0.924,0.001,0.005
ship,0.033,0.01,0.001,0.005,0.0,0.005,0.001,0.001,0.934,0.01
truck,0.016,0.026,0.001,0.006,0.0,0.001,0.003,0.0,0.022,0.925
